Filename,City,M0_IoU,M2_IoU
dunedin_287.tif,dunedin,0.840882,0.877130
dunedin_288.tif,dunedin,0.817150,0.858885
dunedin_289.tif,dunedin,0.796690,0.842147
dunedin_29.tif,dunedin,0.704576,0.858841
dunedin_290.tif,dunedin,0.770234,0.845126
dunedin_291.tif,dunedin,0.200698,0.211951
dunedin_292.tif,dunedin,0.887518,0.865370
dunedin_293.tif,dunedin,0.835754,0.863291
dunedin_294.tif,dunedin,0.841969,0.860855
dunedin_295.tif,dunedin,0.856883,0.862272
dunedin_296.tif,dunedin,0.852593,0.860855
dunedin_297.tif,dunedin,0.868028,0.867656
dunedin_298.tif,dunedin,0.724013,0.699318
dunedin_299.tif,dunedin,0.790630,0.909571
dunedin_3.tif,dunedin,0.848033,0.623890
dunedin_30.tif,dunedin,0.653062,0.837454
dunedin_300.tif,dunedin,0.846508,0.891852
dunedin_301.tif,dunedin,0.767130,0.843756
dunedin_302.tif,dunedin,0.806065,0.871128
dunedin_303.tif,dunedin,0.674268,0.837209
dunedin_304.tif,dunedin,0.470725,0.735845
