image_id,region,mIoU,F1,Boundary_IoU
dunedin_115,Dunedin,0.8009091508007758,0.8894498097747572,0.47101917690315814
dunedin_1150,Dunedin,0.6059583381845342,0.7546376811603093,0.26821221578895926
dunedin_1151,Dunedin,0.6383141762729261,0.7792329279803915,0.1930455636459178
dunedin_1152,Dunedin,0.9076246334446298,0.951575710995267,0.6557863502505085
dunedin_1153,Dunedin,0.5363931386399448,0.6982498491340299,0.2329842932606471
dunedin_1154,Dunedin,1.0,1.0,1.0
dunedin_1155,Dunedin,1.0,1.0,1.0
dunedin_1156,Dunedin,0.3239195549908094,0.4893341952198491,0.16088912412911116
dunedin_1157,Dunedin,1.0,1.0,1.0
dunedin_1158,Dunedin,1.0,1.0,1.0
dunedin_1159,Dunedin,1.0,1.0,1.0
dunedin_116,Dunedin,0.3581338509116594,0.5273910972330297,0.16223365173282706
dunedin_1160,Dunedin,1.0,1.0,1.0
dunedin_1161,Dunedin,1.0,1.0,1.0
dunedin_1162,Dunedin,1.0,1.0,1.0
dunedin_1163,Dunedin,1.0,1.0,1.0
dunedin_1164,Dunedin,0.5930463189835654,0.7445437234513775,0.27115716753322167
dunedin_1165,Dunedin,0.5233252420419027,0.6870827418840725,0.1765579466510408
dunedin_1166,Dunedin,0.687656577967787,0.8149247743231174,0.35716288852685874
dunedin_1167,Dunedin,0.7115337387155697,0.8314574496783937,0.3770536091188231
dunedin_1168,Dunedin,0.8072379111952576,0.8933388417702172,0.4684796295554887
dunedin_1169,Dunedin,0.7329723753317188,0.8459135134122272,0.3978805670932325
dunedin_117,Dunedin,0.2158265865802255,0.35502856897643587,0.13665491830924936
dunedin_1170,Dunedin,0.7202216066485502,0.837359098228782,0.4043435464629535
dunedin_1171,Dunedin,0.7942582110297355,0.8853332325828497,0.477001499251943
dunedin_1172,Dunedin,0.3616703952333923,0.5312157721828367,0.2650602409750639
dunedin_1173,Dunedin,1.0,1.0,1.0
dunedin_1174,Dunedin,0.8488460804897116,0.9182441842475977,0.3852507374812611
dunedin_1175,Dunedin,0.641678093028634,0.781734367722111,0.38713836731528095
dunedin_1176,Dunedin,0.620935166429394,0.7661443582559241,0.3699236581155165
dunedin_1177,Dunedin,0.732178451532034,0.8453845513253598,0.4384968273035532
dunedin_1178,Dunedin,0.7948415325717567,0.8856954980674844,0.45586140226046645
dunedin_1179,Dunedin,0.6093272740822849,0.7572446995650424,0.5338732284705378
dunedin_118,Dunedin,0.7894599615429082,0.8823443703786793,0.4954094060365036
dunedin_1180,Dunedin,0.8586180571369237,0.9239316855228623,0.5661531315332091
dunedin_1181,Dunedin,0.8544326001891048,0.9215029978462647,0.5196347031976373
dunedin_1182,Dunedin,0.7884943484762823,0.8817409449996073,0.41487750557314135
dunedin_1183,Dunedin,0.9015487895128936,0.9482257773083683,0.49522034997168485
dunedin_1184,Dunedin,1.0,1.0,1.0
dunedin_1185,Dunedin,1.0,1.0,1.0
dunedin_1186,Dunedin,1.0,1.0,1.0
dunedin_1187,Dunedin,1.0,1.0,1.0
dunedin_1188,Dunedin,1.0,1.0,1.0
dunedin_1189,Dunedin,1.0,1.0,1.0
dunedin_119,Dunedin,0.642725168719212,0.782510892214692,0.3735312768123633
dunedin_1190,Dunedin,1.0,1.0,1.0
dunedin_1191,Dunedin,1.0,1.0,1.0
dunedin_1192,Dunedin,1.0,1.0,1.0
dunedin_1193,Dunedin,1.0,1.0,1.0
dunedin_1194,Dunedin,1.0,1.0,1.0
dunedin_1195,Dunedin,1.0,1.0,1.0
dunedin_1196,Dunedin,1.0,1.0,1.0
dunedin_1197,Dunedin,1.0,1.0,1.0
dunedin_1198,Dunedin,1.0,1.0,1.0
dunedin_1199,Dunedin,1.0,1.0,1.0
dunedin_12,Dunedin,0.2848055812118107,0.44334424659072624,0.16669560689066337
dunedin_120,Dunedin,0.7704439252342543,0.870339821841171,0.4773108481822507
dunedin_1200,Dunedin,2.785515319558352e-10,2.785515319558352e-10,2.283105022309793e-10
dunedin_1201,Dunedin,0.7314956387521566,0.8449292304070871,0.4008569739970424
dunedin_1202,Dunedin,0.6055170788552054,0.7542954065450381,0.2262692885112439
dunedin_1203,Dunedin,0.6403344824249417,0.7807364769631249,0.32164286093739275
dunedin_1204,Dunedin,0.5815161607914059,0.7353907284769964,0.29999154298427
dunedin_1205,Dunedin,0.7312663478273327,0.844776251493546,0.4293331815259985
dunedin_1206,Dunedin,0.6883938609568222,0.8154422695739784,0.3202661025174719
dunedin_1207,Dunedin,0.75864281132027,0.862759403372522,0.4605305006077188
dunedin_1208,Dunedin,1.0,1.0,1.0
dunedin_1209,Dunedin,1.0,1.0,1.0
dunedin_121,Dunedin,0.8451430589900297,0.9160732062180144,0.4949506241867153
dunedin_1210,Dunedin,0.5641592921318231,0.7213578501101333,0.41562500009130865
