image_name,region_prefix,seed,model,mIoU,F1,Boundary_IoU
khartoum_175,Khartoum,456,DeepLabv3+ ResNet50,0.0023600367122508935,0.004708960105209594,0.005139420451052107
khartoum_178,Khartoum,456,DeepLabv3+ ResNet50,0.19422572181498965,0.3252747252959098,0.13330341116995947
khartoum_179,Khartoum,456,DeepLabv3+ ResNet50,0.029231324466646287,0.05680224407234214,0.03487634755644411
khartoum_18,Khartoum,456,DeepLabv3+ ResNet50,0.13918211357620894,0.2443544573196318,0.14972503867009054
khartoum_180,Khartoum,456,DeepLabv3+ ResNet50,0.03403576256004547,0.06583091957187685,0.06559969463406058
khartoum_181,Khartoum,456,DeepLabv3+ ResNet50,0.19148694666070956,0.3214251691023966,0.14288933966322087
khartoum_182,Khartoum,456,DeepLabv3+ ResNet50,0.3882265275821865,0.559312936130444,0.2664431261473706
khartoum_183,Khartoum,456,DeepLabv3+ ResNet50,0.32100000000308637,0.48599545798814264,0.21123821858255096
khartoum_184,Khartoum,456,DeepLabv3+ ResNet50,0.46291305051085413,0.6328647493420181,0.16160987207538993
khartoum_185,Khartoum,456,DeepLabv3+ ResNet50,0.5310593178000294,0.6937148830543989,0.29998283852239604
khartoum_186,Khartoum,456,DeepLabv3+ ResNet50,0.8284122205865087,0.9061547623221139,0.3936184124572562
khartoum_188,Khartoum,456,DeepLabv3+ ResNet50,0.3515975114677126,0.5202695454592121,0.1449327465454101
khartoum_189,Khartoum,456,DeepLabv3+ ResNet50,0.30959260832377605,0.4728075072443455,0.08482521398434553
khartoum_19,Khartoum,456,DeepLabv3+ ResNet50,0.12273115220546037,0.21862963713813943,0.10809770437042238
khartoum_190,Khartoum,456,DeepLabv3+ ResNet50,0.4234775755164103,0.5949901604352124,0.2037948266304088
khartoum_191,Khartoum,456,DeepLabv3+ ResNet50,0.19327251997738676,0.3239369326487354,0.1769321302794456
khartoum_193,Khartoum,456,DeepLabv3+ ResNet50,0.45751138088600135,0.6277980218663807,0.217804912690362
khartoum_194,Khartoum,456,DeepLabv3+ ResNet50,0.519820638366295,0.6840552434199529,0.23214362657201848
khartoum_195,Khartoum,456,DeepLabv3+ ResNet50,0.39266442930988005,0.5639038680757881,0.17990082986264266
khartoum_196,Khartoum,456,DeepLabv3+ ResNet50,0.5223026456544207,0.686200798698092,0.220674933932301
khartoum_197,Khartoum,456,DeepLabv3+ ResNet50,0.09487886262737735,0.173313899573694,0.11624649862006896
khartoum_198,Khartoum,456,DeepLabv3+ ResNet50,0.521979983046918,0.6859222708065145,0.1959742307285039
khartoum_199,Khartoum,456,DeepLabv3+ ResNet50,0.3358439811746076,0.5028191703609404,0.13784365894922282
khartoum_2,Khartoum,456,DeepLabv3+ ResNet50,0.15914207845527736,0.2745859742458128,0.0528777998433105
khartoum_20,Khartoum,456,DeepLabv3+ ResNet50,0.43420621932186243,0.6055003994110977,0.19111349038567682
khartoum_200,Khartoum,456,DeepLabv3+ ResNet50,0.20277653125969416,0.33718072474707467,0.07168796952491956
khartoum_201,Khartoum,456,DeepLabv3+ ResNet50,0.39804275045130255,0.5694285819551491,0.11182242168446008
khartoum_202,Khartoum,456,DeepLabv3+ ResNet50,0.2029023784375961,0.3373546882514302,0.09511879479842195
khartoum_203,Khartoum,456,DeepLabv3+ ResNet50,0.15810808990995906,0.27304548044692817,0.06834438620639904
khartoum_205,Khartoum,456,DeepLabv3+ ResNet50,0.25387627776768845,0.4049462969654743,0.08039334397585558
khartoum_206,Khartoum,456,DeepLabv3+ ResNet50,0.17539004471720315,0.29843717922442875,0.07629663143364394
khartoum_207,Khartoum,456,DeepLabv3+ ResNet50,0.24644660395693868,0.39543868654190883,0.06569703235727883
khartoum_208,Khartoum,456,DeepLabv3+ ResNet50,0.474088661198919,0.6432295067151047,0.13596019365540626
khartoum_209,Khartoum,456,DeepLabv3+ ResNet50,2.061005770773681e-11,2.061005770773681e-11,3.106554830596255e-11
khartoum_21,Khartoum,456,DeepLabv3+ ResNet50,0.20983369487004175,0.3468802295029609,0.07609929078669433
khartoum_211,Khartoum,456,DeepLabv3+ ResNet50,0.18602750920351319,0.3136984728520645,0.13604364661851384
khartoum_212,Khartoum,456,DeepLabv3+ ResNet50,0.30364700585948984,0.4658423706605937,0.0998322147776869
khartoum_213,Khartoum,456,DeepLabv3+ ResNet50,0.172500189817231,0.29424334650460243,0.06610407877872532
khartoum_214,Khartoum,456,DeepLabv3+ ResNet50,0.30672662544933654,0.46945798681068035,0.12022054417930934
